"Country","Issuer","Currency","Face value","Reference","N# number (with link)","Title","Type","Year range","Shape","Composition","Weight","Diameter","Thickness","Orientation","Year","Gregorian year","Mintmark","Comment","Quantity","For exchange","Grade","Buying price (AUD)","Estimate (AUD)","Private comment","Public comment"
"Australia","Australia","Pound (1910-1966)","0.002083333333333","KM# 22","N# 1564","½ Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","5.67","25.5","1.7","Medal alignment ↑↑","1919","1919","","Sydney Mint","1","","VG","","0.49","",""
"Australia","Australia","Pound (1910-1966)","0.002083333333333","KM# 22","N# 1564","½ Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","5.67","25.5","1.7","Medal alignment ↑↑","1928","1928","","Melbourne Mint","1","","VG","","","",""
"Australia","Australia","Pound (1910-1966)","0.002083333333333","KM# 22","N# 1564","½ Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","5.67","25.5","1.7","Medal alignment ↑↑","1929","1929","","Melbourne Mint","1","","VG","","","",""
"Australia","Australia","Pound (1910-1966)","0.002083333333333","KM# 22","N# 1564","½ Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","5.67","25.5","1.7","Medal alignment ↑↑","1933","1933","","Melbourne Mint","1","","F","","0.89","",""
"Australia","Australia","Pound (1910-1966)","0.002083333333333","KM# 22","N# 1564","½ Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","5.67","25.5","1.7","Medal alignment ↑↑","1934","1934","","Melbourne Mint","1","","VG","","","",""
"Australia","Australia","Pound (1910-1966)","0.002083333333333","KM# 22","N# 1564","½ Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","5.67","25.5","1.7","Medal alignment ↑↑","1936","1936","","Melbourne Mint","1","","VG","","0.74","",""
"Australia","Australia","Pound (1910-1966)","0.002083333333333","KM# 35","N# 1569","½ Penny - George VI","Standard circulation coin","1938-1939","Round","Bronze","5.67","25.5","1.6","Medal alignment ↑↑","1938","1938","","","1","","VG","","0.95","",""
"Australia","Australia","Pound (1910-1966)","0.002083333333333","KM# 49","N# 4205","½ Penny - Elizabeth II (1st Portrait; without ""F:D:"")","Standard circulation coin","1953-1955","Round","Bronze","5.67","25.5","1.3","Medal alignment ↑↑","1953","1953","","Perth Mint","1","","VG","","0.92","",""
"Australia","Australia","Pound (1910-1966)","0.002083333333333","KM# 49","N# 4205","½ Penny - Elizabeth II (1st Portrait; without ""F:D:"")","Standard circulation coin","1953-1955","Round","Bronze","5.67","25.5","1.3","Medal alignment ↑↑","1955","1955","","Perth Mint","1","","VG","","","",""
"Australia","Australia","Pound (1910-1966)","0.002083333333333","KM# 61","N# 3149","½ Penny - Elizabeth II (1st Portrait; with ""F:D:"")","Standard circulation coin","1959-1964","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","5.67","25.5","1.3","Medal alignment ↑↑","1963","1963","","Perth Mint","1","","F","","1.18","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1.8","Medal alignment ↑↑","1915","1915","","London Mint","1","","VG","","4.89","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1.8","Medal alignment ↑↑","1916","1916","I","Calcutta Mint","1","","XF","","4.94","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1.8","Medal alignment ↑↑","1917","1917","I","Calcutta Mint","1","","XF","","3.18","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1.8","Medal alignment ↑↑","1918","1918","I","Calcutta Mint","1","","VF","","12.42","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1.8","Medal alignment ↑↑","1919","1919","","Melbourne & Sydney Mints - Without dots","1","","F","","1.89","",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1.8","Medal alignment ↑↑","1920","1920","","Melbourne & Sydney Mints - Without dots","1","","F","","7.6","",""
